Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Sha-La-La (Make Me Happy),Al Green,Al Green Explores Your Mind, 1974,179840,4,0.747,0.395,0,-13.78,1,0.0321,0.0672,0.0299,0.219,0.85,110.726,46
Take Me to the River,Al Green,Al Green Explores Your Mind, 1974,225373,4,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,59
You Ought to Be with Me,Al Green,Call Me, 1972,199066,4,0.711,0.44,7,-11.501,0,0.0332,0.472,0.000149,0.131,0.577,107.603,41
Here I Am (Come and Take Me),Al Green,Call Me, 1973,256693,4,0.815,0.388,11,-12.238,0,0.0364,0.318,8.39E-05,0.0673,0.846,94.558,49
Tired of Being Alone,Al Green,Gets Next to You, 1971,172320,4,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,68
Let's Get Married,Al Green,Greatest Hits, 1973,203320,4,0.702,0.528,9,-8.673,1,0.0372,0.0947,0.000103,0.556,0.962,115.148,37
Love and Happiness,Al Green,I'm Still in Love with You, 1972,307062,4,0.823,0.457,6,-10.961,1,0.234,0.206,0.000183,0.0763,0.735,99.163,62
Let's Stay Together,Al Green,Let's Stay Together, 1971,199396,4,0.756,0.401,7,-10.702,0,0.0526,0.582,0.011,0.0541,0.514,101.954,76
Belle,Al Green,The Belle Album, 1977,289426,4,0.55,0.427,5,-14.106,1,0.0503,0.371,1.89E-06,0.266,0.612,148.009,29
No One,Alicia Keys,As I Am (Expanded Edition), 2007,253813,4,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85E-06,0.134,0.167,90.04,72
Girl on Fire,Alicia Keys,Girl on Fire (Remixes) - EP, 2012,224920,4,0.482,0.706,9,-5.762,1,0.0607,0.135,0.00106,0.105,0.144,92.513,75
In Common,Alicia Keys,In Common, 2016,209050,4,0.647,0.679,8,-7.092,1,0.0826,0.0182,0,0.0413,0.302,120.138,47
Fallin',Alicia Keys,Songs In A Minor, 2001,210200,3,0.652,0.609,11,-7.519,0,0.037,0.263,0.00101,0.233,0.482,95.986,76
