Track Name,Artist,Album,Genre,Release Year
"Bills, Bills, Bills",Destiny's Child,"Bills, Bills, Bills - EP",R&B/Soul,1999
Miss Independent,Ne-Yo,Year of the Gentleman,R&B/Soul,2008
Foolish,Ashanti,Ashanti,R&B/Soul,2002
All I Have (feat. LL Cool J),Jennifer Lopez,This Is Me...Then,Pop,2002
If I Ain't Got You,Alicia Keys,The Diary of Alicia Keys,R&B/Soul,2003
Case of the Ex (Whatcha Gonna Do),Mýa,Fear of Flying (UK Version),R&B/Soul,2000
Say My Name,Destiny's Child,#1's,R&B/Soul,1999
Closer,Ne-Yo,Year of the Gentleman,R&B/Soul,2008
It's Not Right But It's Okay,Whitney Houston,The Ultimate Collection,R&B/Soul,1998
Fantasy,Mariah Carey,Daydream,Pop,1995
If You Had My Love,Jennifer Lopez,On The 6,Pop,1999
Spotlight,Jennifer Hudson,Jennifer Hudson,R&B/Soul,2008
Saving All My Love for You,Whitney Houston,The Ultimate Collection,R&B/Soul,1985
Let Me Love You,Mario,Turning Point,R&B/Soul,2004
No Scrubs,TLC,FanMail,R&B/Soul,1999
Always On Time (feat. Ashanti),Ja Rule,Pain Is Love,R&B/Soul,2001
7 Days,Craig David,Born to Do It,Pop,2000
Hate It Or Love It (feat. 50 Cent),The Game,The Documentary,R&B/Soul,2005
U Remind Me,USHER,8701,R&B/Soul,2001
Irreplaceable,Beyoncé,B'Day (Deluxe Edition),Pop,2006
How Will I Know,Whitney Houston,Whitney Houston (The Deluxe Anniversary Edition),Pop,1985
All Falls Down (feat. Syleena Johnson),Kanye West,The College Dropout,R&B/Soul,2004
Unfoolish,Ashanti,Ashanti,R&B/Soul,2002
Countdown,Beyoncé,4 (Expanded Edition),Pop,2011
Pills N Potions,Nicki Minaj,The Pinkprint (Deluxe),R&B/Soul,2014
Love Don't Cost a Thing,Jennifer Lopez,J. Lo,R&B/Soul,2000
We Ride,Rihanna,A Girl Like Me,Pop,2006
Ain't It Funny,Jennifer Lopez,J. Lo,R&B/Soul,2001
Hit 'Em Up Style (Oops!),Blu Cantrell,Bittersweet,R&B/Soul,2001
What's Luv? (feat. Ashanti),Fat Joe,What's Luv? (feat. Ashanti) - Single,R&B/Soul,2002
Try Again,Aaliyah,Aaliyah,R&B/Soul,2000
Age Ain't Nothing But a Number,Aaliyah,Age Ain't Nothing But a Number (Deluxe),R&B/Soul,1994
Question Existing,Rihanna,Good Girl Gone Bad (Reloaded - UK & Oz CD),R&B/Soul,2007
Hate That I Love You (feat. Ne-Yo),Rihanna,Good Girl Gone Bad (Reloaded - UK & Oz CD),R&B/Soul,2007
What's My Name? (feat. Drake),Rihanna,Loud,Pop,2010
Only Girl (In the World),Rihanna,Loud,Pop,2010
"Love the Way You Lie, Pt. 2 (feat. Eminem)",Rihanna,Loud (Deluxe),Pop,2010
Love the Way You Lie (feat. Rihanna),Eminem,Recovery,R&B/Soul,2010
Love the Way You Lie (Piano Version),Rihanna,Loud (Deluxe),Pop,2010
If It's Lovin' That You Want,Rihanna,Music of the Sun,Pop,2005
"You Don't Love Me (No,No,No) [feat. Vybz Kartel]",Rihanna,Music of the Sun,Pop,2005
Girl,Destiny's Child,#1's,R&B/Soul,2001
Bug a Boo,Destiny's Child,The Writing's On the Wall,R&B/Soul,1999
Unpretty,TLC,FanMail,R&B/Soul,1999
Shackles (Praise You),Mary Mary,Go Get It (Music from the TV Series),R&B/Soul,1999
Passionfruit,Drake,More Life,R&B/Soul,2017
Always Be My Baby,Mariah Carey,Daydream,Pop,1995
Waterfalls,TLC,CrazySexyCool,R&B/Soul,1994
Nice For What,Drake,Scorpion,R&B/Soul,2018
"Hold On, We're Going Home (feat. Majid Jordan)",Drake,Nothing Was the Same (Deluxe),R&B/Soul,2013
If Your Girl Only Knew,Aaliyah,One In A Million,R&B/Soul,1996
Are You That Somebody,Aaliyah,Are You That Somebody - Single,R&B/Soul,1998
CHURCH GIRL,Beyoncé,RENAISSANCE,Pop,2022
Heard It All Before,Sunshine Anderson,Your Woman,R&B/Soul,2001
"Me, Myself and I",Beyoncé,Dangerously in Love,Pop,2003
The Girl Is Mine (feat. Destiny's Child & Brandy),99 Souls,The Girl Is Mine (feat. Destiny's Child & Brandy),Pop,2015
Cater 2 U,Destiny's Child,Destiny Fulfilled,Pop,2004
Prom,SZA,Ctrl,R&B/Soul,2017
Just Fine,Mary J. Blige,Growing Pains (Deluxe),R&B/Soul,2007
World Wide Woman,Beyoncé,B'Day (Deluxe Edition),Pop,2007
SUMMER,THE CARTERS,EVERYTHING IS LOVE,R&B/Soul,2018
Same Ol’ Mistakes,Rihanna,ANTI (Deluxe),Pop,2016
Superpower (feat. Frank Ocean),Beyoncé,BEYONCÉ (Platinum Edition),Pop,2013
"No, No, No (Camdino Soul Extended Remix)",Destiny's Child,Destiny's Child,R&B/Soul,1998
Kitty Kat,Beyoncé,B'Day (Deluxe Edition),Pop,2006
Stay (feat. Mikky Ekko),Rihanna,Unapologetic (Deluxe Version),Pop,2012
Loveeeeeee Song (feat. Future),Rihanna,Unapologetic (Deluxe Version),Pop,2012
Diamonds,Rihanna,Unapologetic (Deluxe Version),Pop,2012
Love Without Tragedy / Mother Mary,Rihanna,Unapologetic (Deluxe Version),Pop,2012
Donk,Beyoncé,BEYONCÉ (Platinum Edition),R&B/Soul,
See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,R&B/Soul,2017
California King Bed,Rihanna,Loud (Deluxe),Pop,2010
You Know How We Do It,Ice Cube,Greatest Hits,R&B/Soul,1993
Bad (Remix) [feat. Rihanna],Wale,The Gifted,R&B/Soul,2013
